expression,sharpe,fitness,turnover,sub_s,sc,category,suggestion
"ts_decay_linear(ts_regression(rank(mdl177_put_put_chgalpha), rank(cap), 250, rettype=2) * rank(mdl77_liquidityriskfactor_monchgsip), 35)",-0.1,-0.02,0.0763,0.16,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_2_earningmomentumfactor400_fqsurstd), 60), subindustry), 40)",0.29,0.07,0.0513,-0.07,0.0,"Peak Timing Momentum"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_2_put_put_siratio), 60), subindustry), 40)",-0.05,-0.01,0.0588,0.48,0.0,"Peak Timing Momentum"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_pricemomentumfactor_indrelrtn5d__alt), 60), subindustry), 40)",-0.2,-0.05,0.0722,0.29,0.0,"Peak Timing Momentum"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl77_2gdna_curindbp_), 60), subindustry), 40)",0.07,0.01,0.0511,0.21,0.0,"Peak Timing Momentum"
"ts_regression(rank(mdl77_2sensitivityfactor400_yieldsprd), rank(mdl177_pricemomentumfactor_actrtn36m), 250, rettype=2)",0.6,0.46,0.0681,-0.34,0.0,"Residual Orthogonal"
"ts_decay_linear(ts_regression(rank(mdl77_2sensitivityfactor400_emeasales), rank(cap), 250, rettype=2) * rank(mdl177_2_pricemomentumfactor_actrtn3m), 35)",-0.12,-0.03,0.0778,0.54,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(group_rank(ts_arg_max(rank(net_num_revisions_fy1_earnings), 60), subindustry), 40)",0.14,0.02,0.0608,-0.25,0.0,"Peak Timing Momentum"
"ts_decay_linear(ts_regression(rank(mdl77_2earningmomentumfactor400_fy1epsskew), rank(cap), 250, rettype=2) * rank(mdl77_2industryrrelativevaluefactor_curindfcfp_), 35)",-0.54,-0.21,0.0866,-0.27,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(ts_regression(rank(mdl77_400_indrelrtn5d_), rank(cap), 250, rettype=2) * rank(mdl177_2_valueanalystmodel_qva_pegy), 35)",0.45,0.29,0.1265,0.36,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl77_fixastto), 60), subindustry), 40)",0.31,0.09,0.0538,-0.09,0.0,"Peak Timing Momentum"
"ts_decay_linear(ts_regression(rank(mdl77_ohistoricalgrowthfactor_pctchgfcf), rank(cap), 250, rettype=2) * rank(mdl77_2pricemomentumfactor_pc_ratio), 35)",0.08,0.01,0.1117,0.37,0.0,"Large-Cap Robust Hybrid"
"ts_regression(rank(mdl177_valueanalystmodel_qva_chgato), rank(anl4_qf_az_cfps_median), 250, rettype=2)",-0.33,-0.21,0.0954,-0.77,0.0,"Residual Orthogonal"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl77_liquidityriskfactor_yoychgcr), 60), subindustry), 40)",0.38,0.11,0.0506,0.06,0.0,"Peak Timing Momentum"
"ts_decay_linear(group_zscore(ts_std_dev(free_cash_flow_reported_value, 20) / ts_mean(free_cash_flow_reported_value, 20), subindustry), 40)",0.09,0.02,0.1224,0.19,0.0,"Analyst Dispersion"
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(mdl177_pricemomentumfactor_skew90cortn), 10), subindustry), 20)",-0.55,-0.18,0.1614,-0.48,0.0,"Factor Correlation"
"ts_decay_linear(ts_regression(rank(fnd6_newa2v1300_recch), rank(cap), 250, rettype=2) * rank(mdl77_liquidityriskfactor_netcashp), 35)",-0.38,-0.14,0.0689,0.11,0.0,"Large-Cap Robust Hybrid"
"ts_regression(rank(mdl177_garpanalystmodel_qgp_growthval), rank(anl4_cff_median), 250, rettype=2)",-0.51,-0.27,0.1439,-0.24,0.0,"Residual Orthogonal"
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(mdl177_2_globaldevnorthamerica_v502_acqmul), 10), subindustry), 20)",0.04,0.0,0.1644,-0.0,0.0,"Factor Correlation"
"ts_decay_linear(ts_regression(rank(mdl177_2_globaldevnorthamerica_v502_cusip_sedol), rank(cap), 250, rettype=2) * rank(mdl77_2pricemomentumfactor_sortinoratio), 35)",-0.34,-0.13,0.0816,-0.04,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(group_zscore(ts_std_dev(anl4_cfi_flag, 20) / ts_mean(anl4_cfi_flag, 20), subindustry), 40)",-1.0,-1.21,0.1649,0.58,0.0,"Analyst Dispersion"
"ts_regression(rank(shareholders_equity_reported_value), rank(anl4_qfv4_div_high), 250, rettype=2)",0.25,0.09,0.0932,0.59,0.0,"Residual Orthogonal"
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(mdl177_2_valueanalystmodel_qva_finstmt), 10), subindustry), 20)",-0.03,-0.0,0.1301,-0.17,0.0,"Factor Correlation"
"ts_decay_linear(group_zscore(ts_std_dev(anl4_qfd1_azeps, 20) / ts_mean(anl4_qfd1_azeps, 20), subindustry), 40)",0.77,0.38,0.087,0.33,0.0,"Analyst Dispersion"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_2_globaldevnorthamerica_v502_fc_rel5yfwdep), 60), subindustry), 40)",0.53,0.19,0.0528,0.59,0.0,"Peak Timing Momentum"
"ts_decay_linear(ts_regression(rank(mdl77_fa_pb), rank(cap), 250, rettype=2) * rank(fn_def_tax_liab_a), 35)",0.16,0.05,0.0758,-0.08,0.0,"Large-Cap Robust Hybrid"
