expression,desc,sharpe,fitness,turnover,sub_sharpe,returns,drawdown,margin,self_corr,settings
"ts_decay_linear(group_neutralize(ts_rank(rp_css_assets, 100) / (ts_std_dev(news_max_up_ret, 100) + 0.001), subindustry), 39)","",-0.33,-0.06,1.5698,-0.27,-0.051,0.4873,-6.5e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_netearningsrevision, 180) / (ts_std_dev(fnd6_newa1v1300_ceq, 180) + 0.001), subindustry), 42)","",0.07,0.01,0.0432,0.46,0.0028,0.1356,0.000129,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(snt1_d1_earningssurprise, fn_business_combination_purchase_price_q, 240, rettype=2), subindustry), 33)","",-0.22,-0.2,0.0141,0.72,-0.0983,1.643,-0.013963,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_fundamentalfocusrank, 120) / (ts_std_dev(put_breakeven_10, 120) + 0.001), subindustry), 48)","",-0.08,-0.02,0.0275,0.13,-0.009,0.4723,-0.000657,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_dynamicfocusrank, 220) / (ts_std_dev(fnd6_cptmfmq_atq, 220) + 0.001), subindustry), 40)","",-0.1,-0.04,0.0533,0.32,-0.0219,0.9079,-0.000821,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(option_breakeven_120, 200) / (ts_std_dev(fnd6_txdbclq, 200) + 0.001), subindustry), 36)","",0.11,0.04,0.049,-0.13,0.0134,0.2271,0.000547,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(pcr_vol_90, fnd6_fatp, 90, rettype=2), subindustry), 24)","",-0.74,-1.35,0.0328,-0.61,-0.4153,3.2163,-0.025326,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_netearningsrevision, 210) / (ts_std_dev(implied_volatility_put_60, 210) + 0.001), subindustry), 58)","",-0.81,-0.59,0.0354,-0.35,-0.0655,0.3358,-0.003694,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_fundamentalfocusrank, 140) / (ts_std_dev(historical_volatility_10, 140) + 0.001), subindustry), 27)","",-0.16,-0.05,0.0405,0.11,-0.0108,0.2035,-0.000534,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(snt1_d1_analystcoverage, fnd6_newa1v1300_ceq, 160, rettype=2), subindustry), 31)","",-0.08,-0.02,0.0608,0.27,-0.0079,0.2928,-0.000261,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
