expression,desc,sharpe,fitness,turnover,sub_sharpe,returns,drawdown,margin,self_corr,settings
"ts_decay_linear(group_neutralize(ts_regression(news_max_up_ret, news_mins_10_pct_up, 180, rettype=2), subindustry), 32)","",-0.11,-0.04,0.055,1.32,-0.016,0.4647,-0.000582,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_ess_equity, news_max_up_ret, 150, rettype=2), subindustry), 58)","",-0.35,-0.16,0.0478,0.14,-0.0274,0.3084,-0.001149,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_mins_5_pct_up, 252) / (ts_std_dev(rp_nip_assets, 252) + 0.001), subindustry), 22)","",-0.27,-0.07,1.601,0.28,-0.1078,1.1247,-0.000135,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_nip_legal, 175) / (ts_std_dev(news_mins_2_pct_dn, 175) + 0.001), subindustry), 37)","",0.22,0.04,1.4684,0.17,0.0374,0.508,5.1e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_mins_10_pct_up, rp_css_earnings, 220, rettype=2), subindustry), 43)","",-0.02,-0.0,0.0672,0.02,-0.005,0.7954,-0.000149,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_nip_assets, news_mins_5_pct_up, 190, rettype=2), subindustry), 34)","",0.03,0.0,0.0552,0.07,0.0031,0.4439,0.000113,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_mins_10_pct_up, 140) / (ts_std_dev(rp_nip_legal, 140) + 0.001), subindustry), 26)","",0.34,0.16,1.1931,0.22,0.2725,2.0295,0.000457,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_max_up_ret, 210) / (ts_std_dev(news_mins_10_pct_up, 210) + 0.001), subindustry), 52)","",0.47,0.12,1.0138,0.18,0.0659,0.2332,0.00013,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_mins_5_pct_up, rp_css_earnings, 85, rettype=2), subindustry), 29)","",-0.27,-0.22,0.1299,-0.79,-0.0844,0.7693,-0.0013,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_mins_2_pct_dn, 115) / (ts_std_dev(rp_nip_assets, 115) + 0.001), subindustry), 31)","",0.44,0.11,1.4785,0.23,0.0862,0.54,0.000117,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_nip_legal, news_max_up_ret, 135, rettype=2), subindustry), 41)","",-0.37,-0.19,0.069,-0.47,-0.0322,0.2341,-0.000934,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_nip_assets, 195) / (ts_std_dev(rp_ess_equity, 195) + 0.001), subindustry), 47)","",0.43,0.08,1.6547,0.41,0.0544,0.2925,6.6e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_netearningsrevision, 120) / (ts_std_dev(historical_volatility_120, 120) + 0.001), subindustry), 25)","",-0.57,-0.33,0.0591,-0.18,-0.0427,0.2511,-0.001444,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_uptargetpercent, 252) / (ts_std_dev(parkinson_volatility_150, 252) + 0.001), subindustry), 48)","",-0.25,-0.1,0.0354,-0.07,-0.0188,0.189,-0.001061,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fnd6_fopo, 100) / (ts_std_dev(snt1_d1_analystcoverage, 100) + 0.001), subindustry), 32)","",0.3,0.12,0.0197,0.18,0.0203,0.1055,0.002058,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fnd6_cptnewqv1300_rectq, 150) / (ts_std_dev(implied_volatility_put_1080, 150) + 0.001), subindustry), 50)","",0.06,0.01,0.034,0.17,0.0045,0.2001,0.000265,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_fundamentalfocusrank, 240) / (ts_std_dev(parkinson_volatility_150, 240) + 0.001), subindustry), 22)","",-0.2,-0.08,0.0459,-0.11,-0.019,0.2357,-0.000829,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_dynamicfocusrank, 130) / (ts_std_dev(call_breakeven_10, 130) + 0.001), subindustry), 36)","",-0.11,-0.03,0.0348,0.5,-0.0103,0.3437,-0.000594,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fn_entity_common_stock_shares_out_q, 180) / (ts_std_dev(pcr_oi_120, 180) + 0.001), subindustry), 41)","",-0.28,-0.15,0.0687,0.05,-0.0354,0.5357,-0.00103,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(snt1_cored1_score, snt1_d1_earningsrevision, 90, rettype=2), subindustry), 29)","",0.15,0.05,0.0145,0.07,0.0151,0.1634,0.002082,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(fnd6_newa2v1300_oancf, fn_liab_fair_val_q, 252, rettype=2), subindustry), 47)","",-0.05,-0.01,0.0205,0.31,-0.0045,0.1911,-0.000437,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(snt1_d1_stockrank, pcr_oi_all, 120, rettype=2), subindustry), 58)","",0.15,0.03,0.0326,0.39,0.0048,0.0698,0.000293,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(snt1_d1_netearningsrevision, fn_entity_common_stock_shares_out_q, 200, rettype=2), subindustry), 53)","",0.37,0.15,0.125,0.34,0.02,0.1157,0.000321,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_vol_stddev, news_high_exc_stddev, 180, rettype=2), subindustry), 50)","",0.13,0.05,0.0544,0.19,0.0179,0.4219,0.000657,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_css_assets, 240) / (ts_std_dev(rp_ess_credit_ratings, 240) + 0.001), subindustry), 35)","",0.05,0.0,1.5115,0.16,0.0098,0.4439,1.3e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_css_assets, news_vol_stddev, 210, rettype=2), subindustry), 56)","",-0.35,-0.19,0.0422,-0.39,-0.0354,0.3759,-0.001674,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_mins_10_chg, 120) / (ts_std_dev(rp_css_mna, 120) + 0.001), subindustry), 44)","",0.56,0.24,1.642,0.14,0.3043,0.5997,0.000371,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_nip_marketing, 95) / (ts_std_dev(rp_ess_society, 95) + 0.001), subindustry), 48)","",0.74,0.29,1.6427,0.16,0.2574,0.5723,0.000313,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_nip_marketing, rp_ess_society, 140, rettype=2), subindustry), 39)","",-0.38,-0.23,0.0547,-0.3,-0.0451,0.494,-0.00165,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_css_mna, rp_css_assets, 175, rettype=2), subindustry), 33)","",-0.24,-0.14,0.0673,0.06,-0.0424,0.6109,-0.00126,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_ess_credit_ratings, 155) / (ts_std_dev(news_high_exc_stddev, 155) + 0.001), subindustry), 25)","",0.53,0.15,1.5775,0.15,0.1261,0.3898,0.00016,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_high_exc_stddev, rp_ess_credit_ratings, 230, rettype=2), subindustry), 31)","",-0.23,-0.13,0.0529,0.27,-0.0414,0.5189,-0.001566,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_css_mna, 165) / (ts_std_dev(news_vol_stddev, 165) + 0.001), subindustry), 29)","",0.29,0.03,1.5832,-0.25,0.0145,0.1307,1.8e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_css_assets, news_mins_10_chg, 125, rettype=2), subindustry), 58)","",0.86,1.01,0.0809,0.14,0.1716,0.2332,0.004245,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_vol_stddev, 205) / (ts_std_dev(news_mins_10_chg, 205) + 0.001), subindustry), 54)","",-0.02,-0.0,0.8087,-0.36,-0.0031,0.3903,-8e-06,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_high_exc_stddev, 145) / (ts_std_dev(rp_nip_marketing, 145) + 0.001), subindustry), 24)","",0.21,0.03,1.0133,-0.36,0.0231,0.207,4.6e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(sales_ps, snt1_d1_stockrank, 180, rettype=2), subindustry), 25)","",0.02,0.0,0.0158,-0.66,0.0043,0.4429,0.000543,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(snt1_d1_buyrecpercent, 250) / (ts_std_dev(parkinson_volatility_150, 250) + 0.001), subindustry), 45)","",-0.21,-0.07,0.0216,0.14,-0.0132,0.1687,-0.001225,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(pcr_oi_1080, 150) / (ts_std_dev(snt1_d1_downtargetpercent, 150) + 0.001), subindustry), 50)","",0.17,0.05,0.0358,0.67,0.0105,0.1224,0.000586,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fn_comp_options_exercises_weighted_avg_a, 130) / (ts_std_dev(implied_volatility_put_90, 130) + 0.001), subindustry), 58)","",-0.42,-0.24,0.0225,-0.27,-0.0394,0.3406,-0.003498,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
